Contribution To,Campaign Committee Name Original,Campaign Committee Name Cleaned,Incumbent,StartDate,EndDate,ElectedOffice,Political Party,City Council
Adrian Rivera Reyes,Friends of Adrian Rivera Reyes,Friends of Adrian Rivera Reyes,No,1/1/2014,,Council At-Large,Democrat,At-Large
Al Schmidt,Friends of Al Schmidt,Friends of Al Schmidt,Yes,1/1/2014,,City Commissioner,Republican,
Al Taubenberger,Taubenberger for Philadelphia,Taubenberger for Philadelphia,Yes,1/1/2014,,Council At-Large,Republican,At-Large
Al Taubenberger,taubenberger for philadephia,Taubenberger for Philadelphia,Yes,1/1/2014,,Council At-Large,Republican,At-Large
Alan Butkovitz,Friends of Alan Butkovitz,Friends of Alan Butkovitz,No,1/1/2014,5/31/2017,City Controller,Democrat,
Alan Butkovitz,Friends of Alan Butkovitz,Friends of Alan Butkovitz,No,6/1/2017,,Mayor,Democrat,
Allan Domb,Domb for City Council,Domb for Council,Yes,1/1/2014,,Council At-Large,Democrat,At-Large
Allan Domb,Domb for Council,Domb for Council,Yes,1/1/2014,,Council At-Large,Democrat,At-Large
Angel Cruz,7th Ward Friends of Angel Cruz,7th Ward Friends of Angel Cruz,No,1/1/2014,,Council District 7,Democrat,District
Angel Cruz,Re-Elect Angel Cruzfor the 180th,Re-Elect Angel Cruzfor the 180th,No,1/1/2014,,State Representative,Democrat,
Anthony Hardy Williams,Williams for Senate,Williams for Senate,No,1/1/2014,,State Senate,Democrat,
Anthony Hardy Williams,Williams for Mayor,Williams for Mayor,No,1/1/2014,,Mayor,Democrat,
Anthony Hardy Williams,Friends of Anthony H. Williams,Williams for Mayor,No,1/1/2014,,Mayor,Democrat,
Beth Finn,FINNSPIRATION PAC,FINNSPIRATION PAC,No,1/1/2014,,Council At-Large,Democrat,At-Large
Bill Greenlee,Greenlee for Council-at-Large,Greenlee for Council-at-Large,Yes,1/1/2014,,Council At-Large,Democrat,At-Large
Bill Heeney,Friends of Bill Heeney,Friends of Bill Heeney,No,1/1/2014,,Council At-Large,Republican,At-Large
Billy Ciancaglini,Friends of Billy for Philly,Friends of Billy for Philly,No,1/1/2014,,Mayor,Republican,
Blondell Reynolds Brown,Friends of Blondell Reynolds-Brown,Friends of Blondell Reynolds Brown,Yes,1/1/2014,,Council At-Large,Democrat,At-Large
Blondell Reynolds Brown,Friends of Blondell Reynolds Brown,Friends of Blondell Reynolds Brown,Yes,1/1/2014,,Council At-Large,Democrat,At-Large
Blondell Reynolds Brown,The Friends of Blondell Reynolds Brown,Friends of Blondell Reynolds Brown,Yes,1/1/2014,,Council At-Large,Democrat,At-Large
Bobby Henon,Bobby 11,Bobby 11,Yes,1/1/2014,,Council District 6,Democrat,District
Brian O'Neill,Friends of Brian O'Neill,Friends of Brian O'Neill,Yes,1/1/2014,,Council District 10,Republican,District
Cherelle Parker,FRIENDS OF CHERELLE L. PARKER,PEOPLE FOR PARKER,Yes,1/1/2014,,Council District 9,Democrat,District
Cherelle Parker,PEOPLE FOR PARKER,PEOPLE FOR PARKER,Yes,1/1/2014,,Council District 9,Democrat,District
Cindy Bass,Friends of Cindy Bass,Friends of Cindy Bass,Yes,1/1/2014,,Council District 8,Democrat,District
"Curtis Jones, Jr.",Friends of Curtis Jones Jr.,Friends of Curtis Jones Jr.,Yes,1/1/2014,,Council District 4,Democrat,District
Daniel Tinney,Dan Tinney for City Council,Dan Tinney for City Council,No,1/1/2014,,Council At-Large,Republican,At-Large
Daniel Tinney,Daniel Tinney for City Council,Dan Tinney for City Council,No,1/1/2014,,Council At-Large,Republican,At-Large
Darrell Clarke,Friends of Darrell Clarke,Friends of Darrell Clarke,Yes,1/1/2014,,Council District 5,Democrat,District
David Oh,Citizens for David Oh,Citizens For David Oh,Yes,1/1/2014,,Council At-Large,Republican,At-Large
David Oh,Citizens For David Oh,Citizens For David Oh,Yes,1/1/2014,,Council At-Large,Republican,At-Large
Deja Lynn Alvarez,Friends of Deja Lynn Alvarez,Friends of Deja Lynn Alvarez,No,1/1/2014,,Council At-Large,Democrat,At-Large
Dennis Lee,Citizens For Dennis Lee,Citizens For Dennis Lee,No,1/1/2014,,City Commissioner,Democrat,
Derek Green,The Green Fund,The Green Fund,Yes,1/1/2014,,Council At-Large,Democrat,At-Large
Erika Almiron,Friends of Erika Almiron,Friends of Erika Almiron,No,1/1/2014,,Council At-Large,Democrat,At-Large
Eryn Santamoor,Friends of Eryn Santamoor,Friends of Eryn Santamoor,No,1/1/2014,,Council At-Large,Democrat,At-Large
Ethelind Baylor,Committee to Elect Ethelind Baylor for Citty Council,Committee to Elect Ethelind Baylor for Citty Council,No,1/1/2014,,Council At-Large,Democrat,At-Large
Fernando Treviño-Martinez,Friends of Fernando Trevino,Friends of Fernando Trevino,No,1/1/2014,,Council At-Large,Democrat,At-Large
"Glenn Dawson, Jr.",Friends of Glenn Dawson Jr,Friends of Glenn Dawson Jr,No,1/1/2014,,Council District 5,Republican,District
Helen Gym,Friends of Helen Gym,Friends of Helen Gym,Yes,1/1/2014,,Council At-Large,Democrat,At-Large
Irina Goldstein,FRIENDS OF IRINA M. GOLDSTEIN,FRIENDS OF IRINA M. GOLDSTEIN,No,1/1/2014,,Council At-Large,Republican,At-Large
Isaiah Thomas,Friends of Isaiah Thomas,Citizens for Isaiah Thomas,No,1/1/2014,,Council At-Large,Democrat,At-Large
Isaiah Thomas,Citizens for Isaiah Thomas,Citizens for Isaiah Thomas,No,1/1/2014,,Council At-Large,Democrat,At-Large
Jamie Gauthier,JAMIE FOR WEST PHILLY,JAMIE FOR WEST PHILLY,No,1/1/2014,,Council District 3,Democrat,District
Jannie Blackwell,FREINDS OF JANNIE L. BLACKWELL,Friends of Jannie L. Blackwell,Yes,1/1/2014,,Council District 3,Democrat,District
Jannie Blackwell,Friends of Jannie L. Blackwell,Friends of Jannie L. Blackwell,Yes,1/1/2014,,Council District 3,Democrat,District
Jeannette Geter,J R GETER PAC,J R GETER PAC,No,1/1/2014,,Council District 4,Democrat,District
Jen Devor,Votes 4 Philly,Votes 4 Philly,No,1/1/2014,,City Commissioner,Democrat,
Jewel Williams,Citizens For Jewell Williams,Citizens For Jewell Williams,No,1/1/2014,,Sheriff,Democrat,
Jim Kenney,Kenney 2015,Kenney for Philadelphia,Yes,1/1/2014,,Mayor,Democrat,
Jim Kenney,Kenney for Philadelphia,Kenney for Philadelphia,Yes,1/1/2014,,Mayor,Democrat,
Jim Kenney,Kenney2015,Kenney for Philadelphia,Yes,1/1/2014,,Mayor,Democrat,
Joe Cox,FRIENDS OF JOE COX FOR OFFICE,FRIENDS OF JOE COX FOR OFFICE,No,1/1/2014,,Council At-Large,Independent,At-Large
Judy Moore,Committee to Elect Judy Moore,Committee to Elect Judy Moore,No,1/1/2014,,Council District 10,Democrat,District
Justin DiBerardinis,Friends of Justin DiBerardinis,Friends of Justin DiBerardinis,No,1/1/2014,,Council At-Large,Democrat,At-Large
Kahlil Williams,Kahlil for Philly,Kahlil for Philly,No,1/1/2014,,City Commissioner,Democrat,
Kenyatta Johnson,Citizens for Kenyatta Johnson,Citizens for Kenyatta Johnson,Yes,1/1/2014,,Council District 2,Democrat,District
Larry King,Friends To Elect Larry King for Sheriff,Friends To Elect Larry King for Sheriff,No,1/1/2014,,Sheriff,Democrat,
Lauren Vidas,Vote Vidas PAC,Vote Vidas PAC,No,1/1/2014,,Council District 2,Democrat,District
Lisa Deeley,DEELEY15,DEELEY15,Yes,1/1/2014,,City Commissioner,Democrat,
Luigi Borda,VOTE BORDA,VOTE BORDA,No,1/1/2014,,City Commissioner,Democrat,
Maria Quiñones Sánchez,Friends of Maria,Friends of Maria,Yes,1/1/2014,,Council District 7,Democrat,District
Maria Quiñones Sánchez,Friends of Maria ,Friends of Maria,Yes,1/1/2014,,Council District 7,Democrat,District
Mark Squilla,Squilla for Council,Squilla for Council,Yes,1/1/2014,,Council District 1,Democrat,District
Mark Squilla,Squilla For Council,Squilla for Council,Yes,1/1/2014,,Council District 1,Democrat,District
Matt Wolfe,WWW.Wolfe.Org,WWW.Wolfe.Org,No,1/1/2014,,Council At-Large,Republican,At-Large
Melissa Robbins,Melissa For Philly,Melissa For Philly,No,1/1/2014,,Council At-Large,Democrat,At-Large
Moira Bohannon,Moira votes,Moira votes,No,1/1/2014,,City Commissioner,Democrat,
Omar Sabir,Citizens for Omar Sabir,Citizens for Omar Sabir,No,1/1/2014,,City Commissioner,Democrat,
Rochelle Bilal,Friends Of Rochelle Bilal,Friends Of Rochelle Bilal,No,1/1/2014,,Sheriff,Democrat,
Ronald Donatucci,DONATUCCI 2015 COMMITTEE,DONATUCCI 2015 COMMITTEE,Yes,1/1/2014,,Register of Wills,Democrat,
Sherrie Cohen,Cohen for Council,Cohen for Council,No,1/1/2014,,Council At-Large,Democrat,At-Large
Sherrie Cohen,Cohen For Council,Cohen for Council,No,1/1/2014,,Council At-Large,Democrat,At-Large
Steven Vaughn-Lewis,Citizens for S. Vaughn-Lewis,Citizens for S. Vaughn-Lewis,No,1/1/2014,,Council At-Large,Republican,At-Large
Tonya Bah,People for Tonya Bah,People for Tonya Bah,No,1/1/2014,,Council District 8,Democrat,District
Lou Lanni,lou lanni for city council,lou lanni for city council,No,1/1/2014,,Council District 1,Democrat,District
Carla Cain,Friends of carla cain,friends of carla cain,No,1/1/2014,,City Commissioner,Democrat,
Tracey Gordon,Friends of Tracey Gordon,Friends of Tracey Gordon,No,1/1/2014,,Register of Wills,Democrat,
Mike Stack,Committee to Elect Mike Stack,Committee to Elect Mike Stack,No,1/1/2014,,Council District 10,Democrat,District
Sheila Armstrong,Sheila E. Armstrong for Office,Sheila E. Armstrong for Office,No,1/1/2014,,Council District 5,Democrat,District
Taras Smerechanskyy,Taras Smerechanskyy,Taras Smerechanskyy,No,1/1/2014,,Council District 10,Democrat,District
Carla Cain,Friends OF Carla CAIN,friends of carla cain,No,1/1/2014,,City Commissioner,Democrat,
Carla Cain,friends of carla cain,friends of carla cain,No,1/1/2014,,City Commissioner,Democrat,
Sheila Armstrong,Sheila E. Armstrong For Office,Sheila E. Armstrong for Office,No,1/1/2014,,Council District 5,Democrat,District
Tracey Gordon,TRACEY L GORDON FOR COMMISSIONER,Friends of Tracey Gordon,No,1/1/2014,,Register of Wills,Democrat,
